Date,Open,High,Low,Close
1-June-2022,16889.50,16948.92,16722.12,16810.26,
2-June-2022,16818.20,16935.54,16735.06,16920.50,
3-June-2022,17048.89,17077.65,16822.71,16835.73,
6-June-2022,16795.75,16857.22,16680.71,16819.88,
7-June-2022,16741.57,16744.55,16616.98,16676.27,
8-June-2022,16743.46,16773.05,16552.32,16611.74,
9-June-2022,16517.01,16747.58,16493.99,16735.73,
10-June-2022,16577.80,16586.87,16443.15,16470.88,
13-June-2022,16154.96,16155.96,15967.70,16051.03,
14-June-2022,15956.47,16147.67,15934.82,16014.37,
15-June-2022,16027.45,16086.54,15978.48,15993.38,
16-June-2022,16135.89,16168.48,15631.40,15662.05,
17-June-2022,15574.59,15692.45,15460.88,15562.65,
20-June-2022,15591.76,15629.24,15433.75,15567.53,
21-June-2022,15666.23,15950.45,15651.41,15897.82,
22-June-2022,15815.94,15823.62,15633.86,15658.68,
23-June-2022,15705.23,15878.48,15617.90,15810.86,
24-June-2022,15927.26,15995.79,15878.35,15963.31,
27-June-2022,16174.58,16186.21,16080.59,16092.24,
28-June-2022,16014.31,16152.53,15964.39,16123.11,
29-June-2022,15969.32,16110.95,15956.61,16053.39,
30-June-2022,16026.48,16142.60,15976.44,16014.13,
1-July-2022,15970.79,16052.99,15762.82,16014.96,
4-July-2022,16007.25,16131.50,15936.43,16114.40,
5-July-2022,16194.44,16307.13,16071.21,16096.46,
6-July-2022,16104.18,16325.07,16087.13,16302.50,
7-July-2022,16420.93,16463.31,16357.94,16448.37,
8-July-2022,16564.03,16576.97,16464.21,16530.58,
11-July-2022,16475.82,16581.57,16440.54,16546.17,
12-July-2022,16493.13,16506.35,16379.58,16400.73,
13-July-2022,16493.18,16493.37,16313.54,16328.97,
14-July-2022,16382.35,16422.68,16212.18,16305.97,
15-July-2022,16366.94,16436.34,16300.09,16421.18,
18-July-2022,16514.88,16663.03,16511.05,16653.33,
19-July-2022,16581.59,16736.30,16574.01,16718.36,
20-July-2022,16922.03,16954.76,16849.47,16877.09,
21-July-2022,16886.53,17016.49,16848.74,16999.86,
22-July-2022,17047.38,17117.26,16993.24,17089.10,
25-July-2022,17053.33,17080.38,16947.75,17010.77,
26-July-2022,17027.27,17027.27,16827.18,16845.96,
27-July-2022,16845.66,17023.69,16808.19,17013.03,
28-July-2022,17126.93,17306.13,17113.23,17290.88,
29-July-2022,17418.71,17543.52,17386.93,17530.28,
1-August-2022,17606.96,17736.53,17525.08,17721.46,
2-August-2022,17702.99,17764.75,17604.26,17717.62,
3-August-2022,17730.89,17762.31,17588.47,17744.57,
4-August-2022,17811.53,17860.28,17524.58,17754.71,
5-August-2022,17790.76,17850.70,17730.28,17775.34,
8-August-2022,17786.66,17924.35,17742.55,17897.17,
10-August-2022,17935.73,17939.76,17813.69,17898.99,
11-August-2022,18044.43,18083.24,18001.65,18027.45,
12-August-2022,18015.31,18105.96,17980.15,18077.71,
16-August-2022,18146.43,18236.22,18146.03,18226.71,
17-August-2022,18259.34,18378.45,18248.50,18358.86,
18-August-2022,18317.45,18393.16,18278.29,18381.48,
19-August-2022,18400.61,18419.64,18137.26,18176.47,
22-August-2022,18095.37,18101.28,17862.45,17886.76,
23-August-2022,17717.15,18032.50,17709.86,17985.08,
24-August-2022,17940.90,18041.28,17904.81,18020.37,
25-August-2022,18085.46,18149.68,17916.09,17947.73,
26-August-2022,18031.65,18118.46,17960.44,17994.66,
29-August-2022,17517.95,17828.23,17517.69,17768.04,
30-August-2022,17853.11,18239.96,17849.79,18222.39,
1-September-2022,17999.77,18177.07,17962.13,18038.91,
2-September-2022,18104.51,18142.36,17991.30,18029.82,
5-September-2022,18034.63,18157.18,18033.72,18136.96,
6-September-2022,18158.75,18236.84,18072.88,18152.18,
7-September-2022,18043.35,18155.57,18026.00,18133.45,
8-September-2022,18233.52,18296.11,18186.31,18290.24,
9-September-2022,18390.88,18417.48,18267.69,18317.75,
12-September-2022,18353.83,18476.34,18353.83,18438.06,
13-September-2022,18524.28,18585.60,18513.73,18567.78,
14-September-2022,18231.37,18599.57,18231.11,18520.65,
15-September-2022,18564.26,18626.14,18400.88,18429.23,
16-September-2022,18344.52,18371.30,18005.81,18046.97,
19-September-2022,18033.41,18181.14,17926.52,18130.13,
20-September-2022,18252.73,18441.79,18252.73,18330.77,
21-September-2022,18275.08,18373.17,18162.16,18210.87,
22-September-2022,18099.29,18231.34,18032.23,18148.58,
23-September-2022,18121.94,18169.00,17798.24,17827.88,
26-September-2022,17655.60,17685.39,17433.91,17478.29,
27-September-2022,17539.22,17648.19,17396.70,17477.72,
28-September-2022,17359.93,17518.35,17297.45,17337.41,
29-September-2022,17458.45,17523.02,17268.71,17303.76,
30-September-2022,17254.86,17650.64,17214.82,17574.98,
3-October-2022,17571.28,17597.77,17293.02,17339.96,
4-October-2022,17568.58,17747.37,17568.58,17739.08,
6-October-2022,17819.01,17901.86,17795.50,17809.95,
7-October-2022,17772.84,17807.59,17680.67,17789.34,
10-October-2022,17556.05,17742.25,17526.77,17703.54,
11-October-2022,17718.58,17724.23,17403.24,17430.96,
12-October-2022,17471.30,17593.16,17399.89,17573.50,
13-October-2022,17545.92,17569.07,17399.09,17457.51,
